Symbol Probabilities:
Symbol:  -25 | Count: 368748 | Probability: 0.00502491574550320043
Symbol:  -32 | Count: 101912 | Probability: 0.00138875116192012480
Symbol:  375 | Count:    600 | Probability: 0.00000817617843975268
Symbol:  -21 | Count: 504802 | Probability: 0.00687891871457338520
Symbol:  -37 | Count: 182518 | Probability: 0.00248716622744463199
Symbol:  -26 | Count: 213681 | Probability: 0.00291182330864131998
Symbol:  -30 | Count: 202972 | Probability: 0.00276589215045580086
Symbol:  369 | Count:    254 | Probability: 0.00000346124887282863
Symbol:  -23 | Count: 193140 | Probability: 0.00263191183975638706
Symbol:    7 | Count: 1838285 | Probability: 0.02505024363853458613
Symbol: -293 | Count:    845 | Probability: 0.00001151478463598502
Symbol:  -36 | Count:  84509 | Probability: 0.00115160110627509846
Symbol:  325 | Count:    404 | Probability: 0.00000550529348276680
Symbol:  -27 | Count: 198762 | Probability: 0.00270852263173686951
Symbol:  -22 | Count: 349702 | Probability: 0.00476537658789731849
Symbol:  -28 | Count: 185970 | Probability: 0.00253420650740134252
Symbol:  381 | Count:    295 | Probability: 0.00000401995439954507
Symbol:  -19 | Count: 339282 | Probability: 0.00462338362232694693
Symbol:  -20 | Count: 238978 | Probability: 0.00325654461862535894
Symbol:  -18 | Count: 364225 | Probability: 0.00496328098703153163
Symbol:  -12 | Count: 523283 | Probability: 0.00713075863748183388
Symbol:  -31 | Count: 113554 | Probability: 0.00154739627757945935
Symbol:    6 | Count: 1158477 | Probability: 0.01578652445058227258
Symbol: -163 | Count:   2655 | Probability: 0.00003617958959590560
Symbol:  269 | Count:    621 | Probability: 0.00000846234468514402
Symbol:  -35 | Count: 123793 | Probability: 0.00168692276265383872
Symbol:  -34 | Count: 131803 | Probability: 0.00179607474482453705
Symbol:  -24 | Count: 247906 | Probability: 0.00337820615380887875
Symbol:  -41 | Count: 154349 | Probability: 0.00210330827666231016
Symbol:  -38 | Count: 124456 | Probability: 0.00169595743982976538
Symbol:  -40 | Count:  64467 | Probability: 0.00087848949245922649
Symbol:  257 | Count:    462 | Probability: 0.00000629565739860956
Symbol:  -39 | Count:  70025 | Probability: 0.00095422815873946873
Symbol:  -44 | Count:  65037 | Probability: 0.00088625686197699150
Symbol:  -43 | Count:  71493 | Probability: 0.00097423254198873027
Symbol:  -45 | Count:  89079 | Probability: 0.00121387633205788121
Symbol:  -42 | Count:  75139 | Probability: 0.00102391645297429407
Symbol:  -51 | Count:  43175 | Probability: 0.00058834417356053647
Symbol:  275 | Count:    719 | Probability: 0.00000979778716363696
Symbol:  -49 | Count:  54616 | Probability: 0.00074425026944255378
Symbol:  279 | Count:   1048 | Probability: 0.00001428105834143468
Symbol:  -53 | Count:  63964 | Probability: 0.00087163512953390048
Symbol:  -46 | Count:  71874 | Probability: 0.00097942441529797332
Symbol:  -48 | Count:  49708 | Probability: 0.00067736912980537688
Symbol:    2 | Count: 1242625 | Probability: 0.01693320622282945206
Symbol:  -47 | Count:  40363 | Probability: 0.00055002515060622887
Symbol:  -52 | Count:  28895 | Probability: 0.00039375112669442271
Symbol:  283 | Count:    957 | Probability: 0.00001304100461140552
Symbol:  -57 | Count:  47266 | Probability: 0.00064409208355558343
Symbol:  -54 | Count:  43604 | Probability: 0.00059419014114495963
Symbol:  -58 | Count:  26865 | Probability: 0.00036608838963992615
Symbol:  -60 | Count:  23147 | Probability: 0.00031542333724159203
Symbol:  -59 | Count:  25880 | Probability: 0.00035266583003466551
Symbol:   10 | Count: 1617331 | Probability: 0.02203931142023939777
Symbol: -183 | Count:   1146 | Probability: 0.00001561650081992761
Symbol:  273 | Count:    388 | Probability: 0.00000528726205770673
Symbol:  -55 | Count:  24860 | Probability: 0.00033876632668708597
Symbol:  287 | Count:     51 | Probability: 0.00000069497516737898
Symbol:  -61 | Count:  32562 | Probability: 0.00044372120392537783
Symbol:  -50 | Count:  44868 | Probability: 0.00061141462372470525
Symbol:  -56 | Count:  30191 | Probability: 0.00041141167212428850
Symbol:  -62 | Count:  26433 | Probability: 0.00036020154116330421
Symbol:  -29 | Count: 247866 | Probability: 0.00337766107524622864
Symbol:    4 | Count: 1083359 | Probability: 0.01476289416385336874
Symbol: -161 | Count:   2672 | Probability: 0.00003641124798503192
Symbol:  259 | Count:    861 | Probability: 0.00001173281606104509
Symbol:  -33 | Count: 102971 | Probability: 0.00140318211686628834
Symbol:  -15 | Count: 316497 | Probability: 0.00431289324607733900
Symbol:  -13 | Count: 687800 | Probability: 0.00937262588476981892
Symbol:   -8 | Count: 505843 | Probability: 0.00689310438416635644
Symbol:  353 | Count:    292 | Probability: 0.00000397907350734630
Symbol:   -7 | Count: 514264 | Probability: 0.00700785704856828496
Symbol:  -16 | Count: 304758 | Probability: 0.00415292631490357753
Symbol:  -14 | Count: 576797 | Probability: 0.00785999199252337619
Symbol:  371 | Count:    481 | Probability: 0.00000655456971586840
Symbol:  -17 | Count: 525044 | Probability: 0.00715475572120250793
Symbol:  -11 | Count: 549199 | Probability: 0.00748391503822288476
Symbol:  -10 | Count: 592216 | Probability: 0.00807010615146095366
Symbol:   -6 | Count: 937266 | Probability: 0.01277209010252205491
Symbol:   -9 | Count: 1166578 | Probability: 0.01589691648648300024
Symbol:  359 | Count:    534 | Probability: 0.00000727679881137988
Symbol:   -5 | Count: 1315300 | Probability: 0.01792354583634449619
Symbol:   -3 | Count: 606059 | Probability: 0.00825874421503011366
Symbol:    1 | Count: 677996 | Probability: 0.00923902712906426136
Symbol: -295 | Count:    366 | Probability: 0.00000498746884824913
Symbol: -174 | Count:   2124 | Probability: 0.00002894367167672448
Symbol:   -4 | Count: 616809 | Probability: 0.00840523407874234872
Symbol: -173 | Count:   2846 | Probability: 0.00003878233973256020
Symbol:    0 | Count: 786808 | Probability: 0.01072180434304154106
Symbol:    8 | Count: 1256113 | Probability: 0.01711700671415509328
Symbol: -291 | Count:    555 | Probability: 0.00000756296505677123
Symbol:   13 | Count: 1301035 | Probability: 0.01772915719393937384
Symbol: -170 | Count:   1853 | Probability: 0.00002525076441476952
Symbol:   16 | Count: 1387878 | Probability: 0.01891256363434511145
Symbol: -189 | Count:   1983 | Probability: 0.00002702226974338260
Symbol: -301 | Count:    689 | Probability: 0.00000938897824164933
Symbol: -172 | Count:   1542 | Probability: 0.00002101277859016438
Symbol:   15 | Count: 1381060 | Probability: 0.01881965499334138994
Symbol:    5 | Count: 1086565 | Probability: 0.01480658221064978103
Symbol: -162 | Count:   2606 | Probability: 0.00003551186835665913
Symbol:    9 | Count: 903822 | Probability: 0.01231634991629024060
Symbol: -303 | Count:    350 | Probability: 0.00000476943742318906
Symbol:   11 | Count: 2120370 | Probability: 0.02889420579716397638
Symbol: -297 | Count:    926 | Probability: 0.00001261856872535163
Symbol:   14 | Count: 1357027 | Probability: 0.01849215816593709552
Symbol: -299 | Count:    479 | Probability: 0.00000652731578773589
Symbol: -178 | Count:   1482 | Probability: 0.00002019516074618911
Symbol:   21 | Count: 1241704 | Probability: 0.01692065578892443245
Symbol: -179 | Count:   1713 | Probability: 0.00002334298944549390
Symbol:   22 | Count: 1279820 | Probability: 0.01744006115127378492
Symbol: -309 | Count:    702 | Probability: 0.00000956612877451063
Symbol: -180 | Count:    924 | Probability: 0.00001259131479721912
Symbol:   23 | Count: 2189442 | Probability: 0.02983544745914830376
Symbol: -313 | Count:    656 | Probability: 0.00000893928842746293
Symbol:   27 | Count: 1732594 | Probability: 0.02360999617940808329
Symbol: -136 | Count:   3347 | Probability: 0.00004560944872975369
Symbol:   32 | Count: 967623 | Probability: 0.01318576385068134273
Symbol:  -77 | Count:  15292 | Probability: 0.00020838353450116325
Symbol:   20 | Count: 1319413 | Probability: 0.01797959353954900127
Symbol: -177 | Count:   2182 | Probability: 0.00002973403559256724
Symbol:   19 | Count: 1793017 | Probability: 0.02443337822918337926
Symbol: -305 | Count:    621 | Probability: 0.00000846234468514402
Symbol: -192 | Count:    509 | Probability: 0.00000693612470972352
Symbol: -191 | Count:    911 | Probability: 0.00001241416426435782
Symbol:   18 | Count: 1702413 | Probability: 0.02319872077692445786
Symbol: -311 | Count:    319 | Probability: 0.00000434700153713517
Symbol:   17 | Count: 962278 | Probability: 0.01311292772774721137
Symbol: -190 | Count:   1450 | Probability: 0.00001975909789606897
Symbol: -319 | Count:    227 | Probability: 0.00000309332084303976
Symbol:   25 | Count: 825225 | Probability: 0.01124531142157483843
Symbol: -134 | Count:   6746 | Probability: 0.00009192749959095261
Symbol:  395 | Count:    591 | Probability: 0.00000805353576315639
Symbol: -169 | Count:   4428 | Probability: 0.00006034019688537476
Symbol:   12 | Count: 994240 | Probability: 0.01354847275323283785
Symbol: -176 | Count:   1387 | Probability: 0.00001890059915989494
Symbol:    3 | Count: 1408201 | Probability: 0.01918950442506360196
Symbol:   26 | Count: 1431003 | Probability: 0.01950022645970233420
Symbol: -135 | Count:   4149 | Probability: 0.00005653827391088976
Symbol:  -80 | Count:   6280 | Probability: 0.00008557733433607803
Symbol:   35 | Count: 1035108 | Probability: 0.01410537952069252504
Symbol:   30 | Count: 938184 | Probability: 0.01278459965553487704
Symbol:  -68 | Count:  11340 | Probability: 0.00015452977251132562
